GEN,REP,LOC,Group,YR,PT,Cluster,LocYR,ENV,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf,Region,Yield
H1,1,OS,600,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.805
H2,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.438
H3,1,OS,600,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.547
H4,1,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,10.659
H5,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.442
H6,1,OS,500,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.194
H7,1,OS,600,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.045
H8,1,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,11.279
H9,1,OS,500,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,10.942
H10,1,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.724
H11,1,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.04
H12,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.795
H13,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.843
H14,1,OS,500,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.414
H15,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.323
H16,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.735
H17,1,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.061
H18,1,OS,600,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.041
H19,1,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,11.175
H20,1,OS,600,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,11.959
H21,1,OS,600,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.638
H22,1,OS,600,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.381
H1,2,OS,600,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,11.932
H2,2,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.13
H3,2,OS,600,10,Pt1,C1,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.362
H4,2,OS,500,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,10.659
H5,2,OS,600,10,Pt1,Other,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,13.276
H6,2,OS,500,10,Pt1,C2,OS10,OS10Pt1,16.5,76,448.5089294,20.4,78,524.476612,23.2,74,734.9370338,21.7,75,645.3366964,CE,12.757
