id,TRIAL,Trial_env,ENV,Trial_env,REP,GEN,sve,Above_median_BLUP,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
1,LT,1,ADANA2015,,1,ALBAYRAK,LTADANA2015ALBAYRAK1,AM,0,12.7,16.7,15.8,14.7966814,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
2,LT,1,ADANA2016,,1,ALBAYRAK,LTADANA2016ALBAYRAK1,AM,0,14.266,15,17.5,16.61799419,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
3,LT,1,ADANA2017,,1,ALBAYRAK,LTADANA2017ALBAYRAK1,AM,OS-TAREKS,14.88,12,16.1,18.24950432,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
4,LT,1,ADANA2018,,1,ALBAYRAK,LTADANA2018ALBAYRAK1,AM,0,15.87,12,18.4,18.93011561,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
5,LT,1,ADANA2019,,1,ALBAYRAK,LTADANA2019ALBAYRAK1,AM,OS-TAREKS,8.15,16,12.6,9.939209302,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
6,LT,1,AYVALIK2015,,1,ALBAYRAK,LTAYVALIK2015ALBAYRAK1,AM,0,18.1,15.2,19.3,20.57555083,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
7,LT,1,AYVALIK2017,,1,ALBAYRAK,LTAYVALIK2017ALBAYRAK1,AM,OS-TAREKS,17.85,13,20.8,20.43083721,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
8,LT,1,AYVALIK2018,,1,ALBAYRAK,LTAYVALIK2018ALBAYRAK1,AM,0,16.1,14.8,23,17.54525581,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
9,LT,2,AYVALIK2019,,1,ALBAYRAK,LTAYVALIK2019ALBAYRAK1,AM,OS-TAREKS,13.6,15.1,25.3,14.32750963,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
10,LT,2,MANISA2015,,1,ALBAYRAK,LTMANISA2015ALBAYRAK1,AM,0,15.2,13.1,17.2,18.16758538,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
