ENV,Yield,TEMP_flow,RH_flow,VPD_flow
ADANA2015,15.71,28.4,69.8,1160.22
ADANA2016,15.77,29.5,67.5,1330.28
ADANA2017,13.25,30.4,64.4,1534.14
ADANA2018,15.08,29.1,69.8,1208.05
ADANA2019,10.02,28.4,68.8,1198.64
AYVALIK2015,18.6,27.3,50.2,1794.78
AYVALIK2016,8.46,28.1,49.0,1925.57
AYVALIK2017,16.75,27.7,49.7,1855.53
AYVALIK2018,16.36,28.2,56.9,1636.75
AYVALIK2019,12.61,26.6,52.4,1646.67
MANISA2015,18.22,28.8,42.8,2248.88
MANISA2016,16.89,29.0,42.8,2274.96
MANISA2017,17.11,28.9,43.2,2246.07
MANISA2018,14.17,28.5,49.2,1962.96
MANISA2019,16.61,27.7,45.9,1995.71
MERSIN2015,15.23,28.6,67.7,1255.33
MERSIN2016,16.47,29.6,65.6,1416.15
MERSIN2019,13.92,28.9,62.6,1478.93
SAKARYA2019,13.82,23.5,67.0,949.78
