ENV,Yield,TEMP_flow,RH_flow,VPD_flow
ADA10Pt2,12.32,30.8,63.5,1609.14
ADA11Pt2,9.76,29.3,63.9,1460.77
ALT10Pt1,8.87,27.6,54.8,1657.72
ALT10Pt2,9.48,29.1,53.7,1852.08
ALT11Pt1,15.86,27.6,53.4,1709.07
ALT11Pt2,11.81,26.9,46.0,1901.19
KA10Pt1,10.18,23.1,73.0,758.62
KA11Pt1,8.71,22.2,67.0,878.12
MAN10Pt1,15.28,28.7,44.5,2169.49
MAN10Pt2,9.42,30.7,42.6,2516.2
MAN11Pt1,15.31,28.8,34.9,2559.48
MAN11Pt2,10.64,27.4,35.3,2345.4
MER10Pt1,11.2,28.8,72.3,1089.06
MER10Pt2,4.78,30.9,68.4,1401.06
MER11Pt1,14.12,29.0,70.1,1189.18
OS10Pt1,12.23,23.2,74.0,734.94
OS11Pt1,10.87,22.2,69.0,824.9
